agent_id;date;product_id;lang_id;calls_handled;avg_aht;std_pass
3;2020-01-08;1;1;14;1.902,05;0
4;2020-07-08;2;2;10;33,46;0
7;2020-07-12;3;1;29;107,23;1
6;2020-07-19;3;2;19;382,84;1
7;2020-07-23;2;1;28;497,93;1
4;2020-07-13;1;2;10;817,86;0
8;2020-07-11;3;2;27;190,95;1
1;2020-07-07;1;1;5;1.987,15;0
4;2020-07-04;1;2;8;396,86;0
5;2020-07-18;1;1;20;1.326,03;0
5;2020-07-15;1;1;19;1.718,03;0
3;2020-01-04;3;1;18;807,43;1
3;2020-01-26;1;1;14;1.921,05;0
8;2020-07-05;3;2;28;441,88;1
2;2020-07-27;1;2;3;219,73;0
6;2020-07-07;3;2;20;142,38;1
6;2020-07-02;1;2;18;747,91;1
8;2020-07-09;1;2;24;1.365,43;0
8;2020-07-03;1;2;25;842,93;1
6;2020-07-05;1;2;17;1.122,58;1
10;2020-07-06;3;2;36;426,44;1
1;2020-07-09;3;1;10;874,95;0
4;2020-07-18;3;2;15;199,10;1
10;2020-07-02;2;2;34;185,02;1
3;2020-01-18;2;1;16;792,83;1
7;2020-07-21;3;1;29;102,77;1
5;2020-07-16;2;1;21;279,30;1
8;2020-07-20;3;2;29;378,71;1
6;2020-07-22;3;2;22;205,18;1
1;2020-07-17;2;1;7;1.150,50;0
3;2020-01-16;3;1;17;321,87;1
5;2020-07-03;1;1;18;1.473,03;0
9;2020-07-13;3;1;38;149,51;1
2;2020-07-25;2;2;4;180,08;0
2;2020-07-23;3;2;7;49,48;0
8;2020-07-24;1;2;22;1.140,43;1
4;2020-07-10;1;2;9;705,86;0
4;2020-07-25;1;2;11;671,86;1
6;2020-07-23;1;2;16;604,24;1
7;2020-07-22;1;1;28;1.291,45;0
8;2020-07-17;3;2;29;56,29;1
8;2020-07-10;2;2;27;405,52;1
9;2020-07-05;1;1;32;1.549,02;0
3;2020-01-10;3;1;18;217,43;1
6;2020-07-06;2;2;17;294,36;1
4;2020-07-09;3;2;14;18,43;1
7;2020-07-14;2;1;27;634,21;1
10;2020-07-01;1;2;29;953,75;1
4;2020-07-19;1;2;10;448,86;0
9;2020-07-26;1;1;35;1.810,68;0
1;2020-07-27;3;1;9;1.119,28;0
10;2020-07-21;3;2;34;164,11;1
3;2020-01-25;3;1;18;614,43;1
3;2020-01-07;3;1;18;766,43;1
5;2020-07-25;2;1;22;289,30;1
6;2020-07-26;1;2;17;884,58;1
3;2020-01-19;3;1;18;703,43;1
8;2020-07-02;3;2;28;402,88;1
4;2020-07-17;2;2;13;158,04;1
2;2020-07-11;3;2;6;341,19;0
3;2020-01-21;2;1;13;727,83;1
8;2020-07-01;2;2;25;606,02;1
7;2020-07-15;3;1;29;491,23;1
7;2020-07-25;1;1;28;1.453,45;0
1;2020-07-20;2;1;9;1.986,50;0
1;2020-07-06;3;1;8;821,62;0
9;2020-07-02;1;1;33;1.292,57;0
10;2020-07-05;2;2;32;701,02;1
2;2020-07-05;3;2;7;186,48;0
7;2020-07-17;2;1;30;656,36;1
2;2020-07-14;3;2;5;199,14;0
3;2020-01-11;1;1;11;1.483,05;0
5;2020-07-09;1;1;21;1.609,03;0
4;2020-07-27;3;2;14;187,57;1
4;2020-07-03;3;2;14;198,57;1
3;2020-01-15;2;1;14;605,17;1
10;2020-07-18;3;2;35;470,77;1
4;2020-07-07;1;2;10;975,86;0
9;2020-07-06;2;1;36;778,17;1
2;2020-07-09;1;2;4;730,73;0
8;2020-07-13;2;2;25;443,02;1
6;2020-07-09;2;2;18;146,03;1
9;2020-07-15;2;1;36;326,17;1
2;2020-07-18;1;2;4;436,73;0
1;2020-07-24;3;1;10;1.456,95;0
10;2020-07-12;3;2;36;362,44;1
7;2020-07-18;3;1;29;370,23;1
3;2020-01-06;2;1;13;742,83;1
3;2020-01-02;1;1;14;1.777,05;0
3;2020-01-22;3;1;17;457,87;1
4;2020-07-01;1;2;8;381,86;0
7;2020-07-16;1;1;25;1.190,16;1
3;2020-01-05;1;1;11;1.639,05;0
10;2020-07-25;1;2;29;901,75;1
6;2020-07-13;3;2;19;402,84;1
7;2020-07-20;2;1;28;394,93;1
1;2020-07-13;1;1;4;1.839,15;0
1;2020-07-12;3;1;10;1.422,95;0
2;2020-07-10;2;2;5;41,08;0
5;2020-07-06;1;1;20;1.298,03;0
4;2020-07-26;2;2;13;689,04;1
5;2020-07-08;3;1;24;154,06;1
5;2020-07-19;2;1;21;576,30;1
10;2020-07-15;3;2;35;441,77;1
6;2020-07-11;1;2;16;874,24;1
9;2020-07-01;3;1;37;300,99;1
1;2020-07-25;1;1;3;1.054,15;0
3;2020-01-01;3;1;17;635,87;1
5;2020-07-10;2;1;23;768,30;1
1;2020-07-21;3;1;8;783,62;0
4;2020-07-24;3;2;14;212,57;1
2;2020-07-26;3;2;7;446,53;0
4;2020-07-02;2;2;11;179,04;1
3;2020-01-27;2;1;16;537,83;1
2;2020-07-01;2;2;3;207,08;0
7;2020-07-02;2;1;29;504,64;1
1;2020-07-08;2;1;6;607,50;0
5;2020-07-20;3;1;22;359,39;1
4;2020-07-22;1;2;11;708,86;1
1;2020-07-04;1;1;4;1.713,15;0
1;2020-07-23;2;1;7;1.211,50;0
5;2020-07-22;2;1;21;696,30;1
3;2020-01-24;2;1;14;368,17;1
6;2020-07-14;1;2;17;878,58;1
8;2020-07-06;1;2;25;1.437,93;0
10;2020-07-08;2;2;33;63,02;1
5;2020-07-13;2;1;21;643,30;1
2;2020-07-24;1;2;4;473,73;0
8;2020-07-27;1;2;22;1.214,43;0
7;2020-07-09;3;1;30;84,96;1
7;2020-07-13;1;1;25;1.530,16;0
8;2020-07-21;1;2;25;793,93;1
6;2020-07-17;1;2;17;875,58;1
1;2020-07-02;2;1;8;1.470,50;0
1;2020-07-26;2;1;9;1.813,50;0
9;2020-07-18;2;1;36;734,17;1
10;2020-07-10;1;2;31;860,75;1
5;2020-07-02;3;1;25;596,39;1
9;2020-07-11;1;1;35;1.718,68;0
2;2020-07-15;1;2;2;105,73;0
7;2020-07-11;2;1;28;668,93;1
8;2020-07-26;3;2;29;25,71;1
2;2020-07-04;2;2;5;8,08;0
1;2020-07-16;1;1;4;1.942,15;0
8;2020-07-22;2;2;26;197,27;1
5;2020-07-24;1;1;20;1.382,03;0
2;2020-07-17;3;2;5;107,86;0
6;2020-07-25;3;2;22;331,18;1
2;2020-07-22;2;2;4;262,93;0
7;2020-07-06;3;1;30;104,04;1
5;2020-07-12;1;1;20;1.399,03;0
7;2020-07-26;2;1;27;254,21;1
5;2020-07-21;1;1;19;1.566,03;0
9;2020-07-12;2;1;37;449,94;1
5;2020-07-26;3;1;23;518,72;1
5;2020-07-07;2;1;22;508,30;1
9;2020-07-21;2;1;36;364,17;1
3;2020-01-20;1;1;14;1.562,05;0
10;2020-07-11;2;2;32;200,02;1
4;2020-07-20;2;2;13;219,04;1
6;2020-07-08;1;2;16;1.091,24;1
7;2020-07-01;1;1;28;1.802,45;0
6;2020-07-12;2;2;19;480,69;1
1;2020-07-18;3;1;8;686,62;0
7;2020-07-10;1;1;27;1.698,02;0
3;2020-01-09;2;1;13;816,83;1
6;2020-07-18;2;2;18;119,03;1
2;2020-07-07;2;2;3;101,93;0
9;2020-07-16;3;1;39;279,03;1
9;2020-07-20;1;1;33;1.465,57;0
7;2020-07-27;3;1;29;296,23;1
10;2020-07-17;2;2;34;366,02;1
4;2020-07-16;1;2;8;761,86;0
1;2020-07-22;1;1;6;2.972,15;0
1;2020-07-14;2;1;7;1.182,50;0
5;2020-07-11;3;1;23;290,72;1
10;2020-07-24;3;2;34;238,11;1
10;2020-07-20;2;2;34;722,02;1
8;2020-07-07;2;2;27;268,52;1
7;2020-07-24;3;1;30;249,04;1
8;2020-07-19;2;2;24;123,77;1
3;2020-01-03;2;1;15;960,50;1
10;2020-07-03;3;2;33;157,56;1
8;2020-07-08;3;2;28;80,12;1
8;2020-07-18;1;2;24;903,43;1
4;2020-07-21;3;2;12;73,90;1
7;2020-07-08;2;1;30;900,36;1
9;2020-07-04;3;1;38;585,51;1
10;2020-07-19;1;2;31;1.390,75;0
5;2020-07-27;1;1;18;1.422,03;0
5;2020-07-17;3;1;24;464,06;1
4;2020-07-05;2;2;10;138,46;0
2;2020-07-13;2;2;5;131,93;0
6;2020-07-27;2;2;19;445,69;1
1;2020-07-03;3;1;8;494,62;0
5;2020-07-23;3;1;24;504,06;1
9;2020-07-27;2;1;34;427,61;1
10;2020-07-09;3;2;34;207,90;1
1;2020-07-19;1;1;4;1.668,15;0
10;2020-07-07;1;2;32;1.293,75;0
9;2020-07-19;3;1;37;22,01;1
4;2020-07-14;2;2;11;31,04;1
1;2020-07-01;1;1;6;2.992,15;0
5;2020-07-01;2;1;20;545,30;1
1;2020-07-15;3;1;10;1.275,95;0
8;2020-07-14;3;2;26;356,21;1
1;2020-07-10;1;1;4;1.820,15;0
2;2020-07-08;3;2;7;9,52;0
9;2020-07-23;1;1;33;1.400,57;0
10;2020-07-27;3;2;35;479,77;1
2;2020-07-12;1;2;3;490,73;0
8;2020-07-25;2;2;24;34,77;1
8;2020-07-15;1;2;25;1.421,93;0
7;2020-07-19;1;1;25;1.023,16;1
5;2020-07-04;2;1;21;847,30;1
10;2020-07-26;2;2;34;468,02;1
10;2020-07-22;1;2;31;937,75;1
9;2020-07-03;2;1;36;896,17;1
9;2020-07-08;1;1;35;1.616,68;0
